dimemployee_fullname,dimemployee_firstname,finishedgoodsflag,dimreseller_ordermonth,factsales_freight,factsales_currencykey,dimdate_monthnumberofyear,productalternatekey,dimreseller_lastorderyear,dimgeography_city,dimsalesterritory_salesterritorykey,dimdate_monthname,dimreseller_yearopened,factsales_orderquantity,productsubcategoryname,dimemployee_gender,productsubcategoryalternatekey,dimdate_fiscalyear,dimemployee_salariedflag,factsales_extendedamount,factsales_ordertime,factsales_productstandardcost,dimreseller_businesstype,factsales_salesorderlinenumber,startdate,dimreseller_resellername_it,dimdate_daynumberofweek,dimgeography_latlong,factsales_productkey,enddate,productsubcategorykey,factsales_unitprice,dimdate_daynumberofyear,dimdate_calendaryear,dimemployee_title,sizeunitmeasurecode,dimreseller_resellerkey,surveyresponse,dimgeography_stateprovincename,dimreseller_addresslineone,dimgeography_countryregionname,dimemployee_maritalstatus,productline,dimemployee_status,dimdate_fulldatealternatekey,dimdate_fiscalsemester,dimreseller_bankname_it,dimgeography_stateprovincecode,productname_es,dimreseller_resellername,dimemployee_birthdate,dimdate_daynumberofmonth,dimemployee_phone,dimgeography_countryregioncode,dimgeography_latlong_geo_subregion,listprice,reorderpoint,dimgeography_latlong_geo_country,dimemployee_employeekey,dimemployee_lastname,productcategoryname,dimdate_fiscalquarter,dimemployee_employeenationalidalternatekey,dimgeography_latlong_geo_postcode,dimreseller_annualsales,dimreseller_minpaymentamount,factsales_salesamount,factsales_salesterritorykey,factsales_taxamt,dimdate_calendarquarter,safetystocklevel,daystomanufacture,dimgeography_latlong_geo_subregionid,factsales_totalproductcost,dimreseller_geographykey,description,dimemployee_emailaddress,dimemployee_salespersonflag,dimemployee_salesterritorykey,factsales_discountamount,dimreseller_productline,dimsalesterritory_salesterritorycountry,dimreseller_addresslinetwo,dimdate_weeknumberofyear,dimreseller_phone,factsales_shipdatekey,factsales_recordspec,factsales_employeekey,dimgeography_latlong_geo_city,d,status,class,dealerprice,factsales_salesordernumber,productname_zh_tw,size,dimsalesterritory_salesterritoryregion,dimreseller_bankname_de,dimreseller_bankname_zh_cn,factsales_carriertrackingnumber,standardcost,dimdate_daynameofweek,dimreseller_minpaymenttype,productcategorykey,productcategoryalternatekey,dimreseller_annualrevenue,factsales_revisionnumber,factsales_orderdatekey,modelname,weight,dimgeography_salesterritorykey,dimsalesterritory_salesterritorygroup,factsales_resellerkey,factsales_shiptime,dimemployee_baserate,factsales_unitpricediscountpct,factsales_duedatekey,factsales_orderduration_duration,style,dimreseller_orderfrequency,dimreseller_firstorderyear,dimemployee_startdate,dimemployee_currentflag,dimgeography_latlong_geo_region,dimgeography_latlong_geo_regionid,productname_it,dimdate_calendarsemester,dimemployee_departmentname,productname,factsales_promotionkey,dimreseller_numberemployees,weightunitmeasurecode,dimgeography_postalcode,factsales_customerponumer,sizerange,dimemployee_hiredate,dimreseller_bankname,dimgeography_geographykey,dimemployee_middlename,color,dimreseller_reselleralternatekey,productcategory,dimdate_datekey
Michael G Blythe,Michael,,4,82.214,100,4,BK-R50B-44,2008,Odessa,3,April,2000,7,Road Bikes,M,2,2007,1,3288.558,03:52:55.000Z,486.7066,Value Added Reseller,11,,Bike Store Primo,1,38.98915 -93.95373,339,,2,469.794,91,2007,Sales Representative,CM ,670,,Missouri,Kansas City Factory Outlet,United States,S,,Current,00:00.,2,Primaria Banca e Riserva [it],MO,Carretera-650 Negro [es],First Bike Store,00:00.,1,257-555-0154,US,Lafayette County,,,US,281,Blythe,Bikes,Q4,841560125,64076,800000,,3288.558,3,263.0846,2,,,4394055,3406.9462,485,,michael9@advent,1,2,0,Road,United States,,14,859-555-0140,04:03.,SO49837-11,281,Odessa,dimreseller_businesstype_ja,,,,SO49837,productname_zh_tw,,Central,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,C136-4536-9D,,Sunday,2,1,1,80000,1,52:55.,,,3,North America,670,04:04:03.000Z,23.0769,0,00:00.,605468000,,S,2005,00:00.,1,Missouri,4398678,Montagna-100 Argento [it],1,Sales,Road-650 Black,1,17,LB ,64076,PO12412160791,,00:00.,Primary Bank & Reserve,485,G,,AW00000670,2,00:00.
Tsvi Michael Reiter,Tsvi,,5,43.7397,100,5,BK-R68R-48,2008,Hollywood,5,May,1976,2,Road Bikes,M,2,2006,1,1749.588,17:39:39.000Z,884.7083,Value Added Reseller,15,,Generale Associates,2,26.023634 -80.18922,318,,2,874.794,121,2006,Sales Representative,CM ,612,,Florida,32525 Hollywood Blvd.,United States,M,,Current,00:00.,2,Primaria Internazionale [it],FL,,General Associates,00:00.,1,664-555-0112,US,Broward County,,,US,285,Reiter,Bikes,Q4,716374314,33023,300000,,1749.588,5,139.967,2,,,4149007,1769.4166,405,,tsvi0@adventure,1,5,0,Road,United States,,18,419-555-0166,48:30.,SO46091-15,285,Pembroke Pines,dimreseller_businesstype_ja,,,,SO46091,productname_zh_tw,,Southeast,Prim?r International [de],dimreseller_bankname_zh_cn,6DCB-4063-BA,,Monday,2,1,1,30000,1,39:39.,,,5,North America,612,06:48:30.000Z,23.0769,0,00:00.,652131000,,S,2005,00:00.,1,Florida,4155751,,1,Sales,Road-450 Red,1,4,LB ,33021,PO6293193126,,00:00.,Primary International,405,Michael,,AW00000612,2,00:00.
Shu K Ito,Shu,,4,70.4691,100,7,BK-R50R-62,2008,Las Cruces,4,July,1974,6,Road Bikes,M,2,2007,1,2818.764,22:07:02.000Z,486.7066,Warehouse,19,,Bike Dealers Association,7,32.300193 -106.76078,325,,2,469.794,182,2006,Sales Representative,CM ,221,,New Mexico,9952 E. Lohman Ave.,United States,M,,Current,00:00.,1,Uniti Sicurezza [it],NM,Carretera-650 Rojo [es],Bike Dealers Association,00:00.,1,330-555-0120,US,Do?a Ana County,,,US,287,Ito,Bikes,Q1,139397894,88006,1500000,,2818.764,4,225.5011,3,,,5465283,2920.2396,505,,shu0@adventure-,1,4,0,Road,United States,,27,993-555-0179,25:23.,SO46668-19,287,Las Cruces,dimreseller_businesstype_ja,,,,SO46668,productname_zh_tw,,Southwest,Vereint Sicherheit [de],dimreseller_bankname_zh_cn,6711-47BE-BF,,Saturday,,1,1,150000,1,07:02.,,,4,North America,221,01:25:23.000Z,23.0769,0,00:00.,616701000,,Q,2005,00:00.,1,New Mexico,5481136,Strada-650 Rosso [it],2,Sales,Road-650 Red,1,40,LB ,88001,PO7859142972,,00:00.,United Security,505,K,,AW00000221,2,00:00.
Tsvi Michael Reiter,Tsvi,,5,4.542,100,11,HL-U509-B,2007,Gulfport,5,November,1999,9,Helmets,M,31,2007,1,181.6785,05:15:23.000Z,13.8782,Warehouse,5,,eCommerce Bikes,4,30.380597 -89.09626,221,,31,20.1865,305,2006,Sales Representative,,566,,Mississippi,Gulfport Factory Shops,United States,M,,Current,00:00.,1,Custode Della Banca [it],MS,AWC Logo Tapa [es],eCommerce Bikes,00:00.,1,664-555-0112,US,Harrison County,,,US,285,Reiter,Accessories,Q2,716374314,39501,3000000,,181.6785,5,14.5343,4,,,4429197,124.9038,489,,tsvi0@adventure,1,5,0,Mountain,United States,,44,695-555-0111,19:36.,SO48063-5,285,Gulfport,dimreseller_businesstype_ja,,,,SO48063,productname_zh_tw,,Southeast,Vormund Bank [de],dimreseller_bankname_zh_cn,AEA4-4489-90,,Wednesday,,4,4,300000,1,15:23.,,,5,North America,566,12:19:36.000Z,23.0769,0,00:00.,543853000,,Q,2005,00:00.,1,Mississippi,4436296,AWC Logo Berretto [it],2,Sales,Sport-100 Helmet,1,58,,39501,PO5858143254,,00:00.,Guardian Bank,489,Michael,,AW00000566,31,00:00.
Stephen Y Jiang,Stephen,,5,48.5991,100,11,BK-R19B-58,2008,Lacey,1,November,1975,6,Road Bikes,M,2,2008,1,1943.964,18:01:00.000Z,343.6496,Value Added Reseller,33,,Parti approfondite e servizi di riparazione,5,47.027082 -122.80359,584,,2,323.994,305,2007,North American Sales Manager,CM ,433,,Washington,S Sound Ctr Suite 25300,United States,M,,Current,00:00.,1,Custode Della Banca [it],WA,,Thorough Parts and Repair Services,00:00.,1,238-555-0197,US,Thurston County,,,US,272,Jiang,Bikes,Q2,502097814,98503,800000,600,1943.964,1,155.5171,4,,,5813521,2061.8976,624,,stephen0@advent,1,11,0,Road,United States,,44,827-555-0143,01:01.,SO57136-33,272,Lacey,dimreseller_businesstype_ja,,,,SO57136,productname_zh_tw,,Northwest,Vormund Bank [de],dimreseller_bankname_zh_cn,0031-4C10-84,,Thursday,3,1,1,80000,1,01:00.,,,1,North America,433,23:01:01.000Z,48.101,0,00:00.,626401000,,S,2005,00:00.,1,Washington,5815135,,2,Sales,Road-750 Black,1,18,LB ,98503,PO7627163680,,00:00.,Guardian Bank,624,Y,,AW00000433,2,00:00.
Shu K Ito,Shu,,6,36.1297,100,3,FR-M94S-46,2007,La Mesa,4,March,1978,2,Mountain Frames,M,12,2006,1,1445.1898,04:30:24.000Z,623.8403,Warehouse,9,,Golf e ciclo Negozio,4,32.761801 -117.01273,293,,12,722.5949,60,2006,Sales Representative,CM ,608,,California,5500 Grossmont Center Drive,United States,M,,Current,00:00.,2,Custode Della Banca [it],CA,HL Monta?a Marco - Plata [es],Golf and Cycle Store,00:00.,1,330-555-0120,US,San Diego County,,,US,287,Ito,Components,Q3,139397894,91941,3000000,,1445.1898,4,115.6152,1,,,5391832,1247.6806,332,,shu0@adventure-,1,4,0,Mountain,United States,,9,280-555-0124,22:03.,SO45571-9,287,La Mesa,dimreseller_businesstype_ja,,,,SO45571,productname_zh_tw,,Southwest,Vormund Bank [de],dimreseller_bankname_zh_cn,BAA6-412D-87,,Wednesday,2,2,2,300000,1,30:24.,,,4,North America,608,14:22:03.000Z,23.0769,0,00:00.,553899000,,Q,2005,00:00.,1,California,5332921,HL Montagna Telaio - Argento [it],1,Sales,HL Mountain Frame - Silver,1,86,LB ,91941,PO7569141774,,00:00.,Guardian Bank,332,K,,AW00000608,12,00:00.
Jillian  Carson,Jillian,TRUE,4,0.8136,100,7,SE-M236,2008,Nashua,2,July,1985,2,Saddles,F,15,2008,1,32.544,11:00:00.000Z,12.0413,Value Added Reseller,32,7/1/2007 0:00,Negozio di biciclette Casual,1,42.774171 -71.47306,515,,15,16.272,182,2007,Sales Representative,,594,,New Hampshire,Westside Plaza,United States,S,M ,Current,00:00.,1,Custode Della Banca [it],NH,,Casual Bicycle Store,00:00.,1,517-555-0117,US,Hillsborough County,27.12,375,US,283,Carson,Components,Q1,615389812,3060,800000,,32.544,2,2.6035,3,500,1,5087463,24.0826,502,Synthetic leather. Features gel for increased comfort.,jillian0@advent,1,3,0,Mountain,United States,,27,301-555-0128,44:25.,SO51111-32,283,Nashua,dimreseller_businesstype_ja,Current,L ,16.272,SO51111,productname_zh_tw,,Northeast,Vormund Bank [de],dimreseller_bankname_zh_cn,5E49-4F77-BB,12.0413,Sunday,1,2,2,80000,1,00:00.,LL Mountain Seat/Saddle 2,,2,North America,594,15:44:25.000Z,23.0769,0,00:00.,621865000,,S,2006,00:00.,1,New Hampshire,5090174,,2,Sales,LL Mountain Seat/Saddle,1,10,,3064,PO11484190487,NA,00:00.,Guardian Bank,502,,NA,AW00000594,15,00:00.
Jos Edvaldo Saraiva,Jos,,4,1.442,19,4,LJ-0192-M,2008,Richmond,6,April,1977,2,Jerseys,M,21,2006,1,57.6808,16:35:40.000Z,31.7244,Warehouse,11,,Centro commerciale al dettaglio,7,,229,,21,28.8404,91,2006,Sales Representative,,514,,British Columbia,254480 River Rd,Canada,M,,Current,00:00.,2,Primaria Internazionale [it],BC,Largo-Manga Logo Jersey [es],Retail Mall,00:00.,1,185-555-0169,CA,,,,,288,Saraiva,Clothing,Q4,399771412,,3000000,600,57.6808,6,4.6145,2,,,,63.4488,61,,jos?adventure,1,6,0,Road,Canada,,14,726-555-0155,59:08.,SO45786-11,288,,dimreseller_businesstype_ja,,,,SO45786,productname_zh_tw,,Canada,Prim?r International [de],dimreseller_bankname_zh_cn,C4AF-4371-B7,,Saturday,3,3,3,300000,1,35:40.,,,6,North America,514,21:59:08.000Z,23.0769,0,00:00.,620608000,,Q,2005,00:00.,1,,,Manica Lunga Logo Maglietta [it],1,Sales,Long-Sleeve Logo Jersey,1,91,,V6B 3P7,PO14732192241,,00:00.,Primary International,61,Edvaldo,,AW00000514,21,00:00.
Tsvi Michael Reiter,Tsvi,,4,5.4614,100,4,FR-M63S-42,2008,Miami,5,April,1987,1,Mountain Frames,M,12,2008,1,218.454,13:10:33.000Z,199.3757,Value Added Reseller,22,,Attivit?? negozio Worthwhile,3,25.813808 -80.2058,512,,12,218.454,92,2008,Sales Representative,CM ,494,,Florida,Flagler Park Plaza,United States,M,,Current,00:00.,2,Uniti Sicurezza [it],FL,ML Monta?a Marco-W - Plata [es],Worthwhile Activity Store,00:00.,1,664-555-0112,US,Miami-dade County,,,US,285,Reiter,Components,Q4,716374314,33142,300000,,218.454,5,17.4763,2,,,4164238,199.3757,409,,tsvi0@adventure,1,5,0,Mountain,United States,,14,197-555-0143,05:43.,SO67348-22,285,Allapattah,dimreseller_businesstype_ja,,,,SO67348,productname_zh_tw,,Southeast,Vereint Sicherheit [de],dimreseller_bankname_zh_cn,4BD1-4782-A3,,Tuesday,2,2,2,30000,1,10:33.,,,5,North America,494,17:05:43.000Z,23.0769,0,00:00.,618910000,,S,2006,00:00.,1,Florida,4155751,LL Montagna Sedile/Sella [it],1,Sales,ML Mountain Frame-W - Silver,1,7,LB ,33127,PO9889141767,,00:00.,United Security,409,Michael,,AW00000494,12,00:00.
Jos Edvaldo Saraiva,Jos,,6,48.5996,98,9,BK-M47B-48,2008,West Sussex,10,September,1994,3,Mountain Bikes,M,1,2007,1,1943.982,12:27:47.000Z,598.4354,Value Added Reseller,7,,Ciclo di negozio nelle vicinanze,6,,367,,1,647.994,244,2006,Sales Representative,CM ,340,,England,Burgess Hill,United Kingdom,M,,Current,00:00.,1,Uniti Sicurezza [it],ENG,,Nearby Cycle Shop,00:00.,1,185-555-0169,GB,,,,,288,Saraiva,Bikes,Q1,399771412,,800000,,1943.982,10,155.5186,3,,,,1795.3062,274,,jos?adventure,1,6,0,Mountain,United Kingdom,Edward Way,36,1 (11) 500 555-0195,45:13.,SO47353-7,288,,dimreseller_businesstype_ja,,,,SO47353,productname_zh_tw,,United Kingdom,Vereint Sicherheit [de],dimreseller_bankname_zh_cn,7C9E-474F-9A,,Friday,2,1,1,80000,1,27:47.,,,10,Europe,340,00:45:13.000Z,23.0769,0,00:00.,649046000,,S,2006,00:00.,1,,,,2,Sales,Mountain-300 Black,1,14,LB ,RH15 9UD,PO19604180596,,00:00.,United Security,274,Edvaldo,,AW00000340,1,00:00.
Tsvi Michael Reiter,Tsvi,,5,4.4645,100,11,FR-R38B-52,2006,Savannah,5,November,1990,1,Road Frames,M,14,2006,1,178.5808,17:26:42.000Z,176.1997,Warehouse,19,,Vendita e servizi qualificati di riparazione,3,32.068658 -81.09258,285,,14,178.5808,305,2005,Sales Representative,CM ,584,,Georgia,Savannah Festival Outlet,United States,M,,Current,00:00.,1,Primaria Internazionale [it],GA,LL Carretera Marco - Rojo [es],Qualified Sales and Repair Services,00:00.,1,664-555-0112,US,Chatham County,,,US,285,Reiter,Components,Q2,716374314,31401,3000000,,178.5808,5,14.2865,4,,,4187390,176.1997,426,,tsvi0@adventure,1,5,0,Road,United States,,44,475-555-0188,15:55.,SO44506-19,285,Savannah,dimreseller_businesstype_ja,,,,SO44506,productname_zh_tw,,Southeast,Prim?r International [de],dimreseller_bankname_zh_cn,CD67-4B07-B6,,Tuesday,,2,2,300000,1,26:42.,,,5,North America,584,10:15:55.000Z,23.0769,0,00:00.,578953000,,Q,2005,00:00.,1,Georgia,4197000,LL Strada Telaio - Rosso [it],2,Sales,LL Road Frame - Black,1,76,LB ,31401,PO16327113845,,00:00.,Primary International,426,Michael,,AW00000584,14,00:00.
Ranjit R Varkey Chudukatil,Ranjit,,5,23.4897,100,11,BK-R50B-62,2008,Lieusaint,7,November,1999,2,Road Bikes,M,2,2007,1,939.588,07:06:55.000Z,486.7066,Warehouse,1,,Nello sport negozio,4,,337,,2,469.794,305,2006,Sales Representative,CM ,211,,Seine et Marne,"98, rue de Terre Neuve",France,S,,Current,00:00.,1,Bancario Internazionale [it],77,Carretera-650 Negro [es],Sports Products Store,00:00.,1,1 (11) 500 555-,FR,,,,,292,Varkey Chudukatil,Bikes,Q2,134219713,,3000000,,939.588,7,75.167,4,,,,973.4132,205,,ranjit0@adventu,1,7,0,Road,France,,44,1 (11) 500 555-0174,46:11.,SO48085-1,292,,dimreseller_businesstype_ja,,,,SO48085,productname_zh_tw,,France,International Bank [de],dimreseller_bankname_zh_cn,AFC0-4F00-9F,,Wednesday,1,1,1,300000,1,06:55.,,,7,Europe,211,21:46:11.000Z,23.0769,0,00:00.,571156000,,Q,2006,00:00.,1,,,Montagna-100 Argento [it],2,Sales,Road-650 Black,1,99,LB ,77127,PO8323125616,,00:00.,International Bank,205,R,,AW00000211,2,00:00.
Linda C Mitchell,Linda,,6,7.9215,100,9,FR-M21S-42,2008,Fullerton,4,September,1979,2,Mountain Frames,F,12,2008,1,316.86,04:37:34.000Z,144.5938,Value Added Reseller,47,,Molti Bikes Negozio,7,33.878981 -117.89325,524,,12,158.43,244,2007,Sales Representative,CM ,61,,California,Receiving,United States,M,,Current,00:00.,1,Primaria Banca e Riserva [it],CA,LL Turismo Manillar [es],Many Bikes Store,00:00.,1,883-555-0116,US,Orange County,,,US,282,Mitchell,Components,Q1,191644724,92670,300000,,316.86,4,25.3488,3,,,5379524,289.1876,323,,linda3@adventur,1,4,0,Mountain,United States,,36,452-555-0179,46:23.,SO53606-47,282,Placentia,dimreseller_businesstype_ja,,,,SO53606,productname_zh_tw,,Southwest,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,6A19-463C-B7,,Saturday,1,2,2,30000,1,37:34.,,,4,North America,61,00:46:23.000Z,23.0769,0,00:00.,590929000,,S,2006,00:00.,1,California,5332921,Freni anteriori [it],2,Sales,LL Mountain Frame - Silver,1,6,LB ,92831,PO5539128997,,00:00.,Primary Bank & Reserve,323,C,,AW00000061,12,00:00.
Jos Edvaldo Saraiva,Jos,,6,26.7674,98,3,FR-R72Y-48,2008,Liverpool,10,March,1993,3,Road Frames,M,14,2008,1,1070.694,01:36:59.000Z,360.9428,Warehouse,8,,Cicli di equitazione,7,,436,,14,356.898,61,2008,Sales Representative,CM ,142,,England,Galashiels,United Kingdom,M,,Current,00:00.,2,Sicurezza Internazionale [it],ENG,ML Carretera Marco-W - Amarillo [es],Riding Cycles,00:00.,1,185-555-0169,GB,,,,,288,Saraiva,Components,Q3,399771412,,3000000,,1070.694,10,85.6555,1,,,,1082.8284,268,,jos?adventure,1,6,0,Road,United Kingdom,,10,1 (11) 500 555-0114,45:54.,SO65177-8,288,,dimreseller_businesstype_ja,,,,SO65177,productname_zh_tw,,United Kingdom,International Sicherheit [de],dimreseller_bankname_zh_cn,1619-495E-81,,Saturday,2,2,2,300000,1,36:59.,,,10,Europe,142,07:45:54.000Z,23.0769,0,00:00.,626935000,,Q,2007,00:00.,1,,,ML Strada Telaio-W - Giallo [it],1,Sales,ML Road Frame-W - Yellow,1,70,LB ,L4 4HB,PO16501143019,,00:00.,International Security,268,Edvaldo,,AW00000142,14,00:00.
Jae B Pak,Jae,,4,0.8999,19,4,SH-M897-M,2008,Edmonton,6,April,1986,1,Shorts,F,22,2007,1,35.994,11:37:35.000Z,24.7459,Warehouse,18,,Top Sport di alimentazione,1,,453,,22,35.994,91,2007,Sales Representative,,496,,Alberta,251420a 170th Street,Canada,M,,Current,00:00.,2,Custode Della Banca [it],AB,,Top Sports Supply,00:00.,1,1 (11) 500 555-,CA,,,,,291,Pak,Clothing,Q4,668991357,,3000000,,35.994,6,2.8795,2,,,,24.7459,42,,jae0@adventure-,1,10,0,Mountain,Canada,,14,613-555-0116,43:29.,SO49879-18,291,,dimreseller_businesstype_ja,,,,SO49879,productname_zh_tw,,Canada,Vormund Bank [de],dimreseller_bankname_zh_cn,7A79-4FB0-85,,Sunday,,3,3,300000,1,37:35.,,,6,North America,496,05:43:29.000Z,23.0769,0,00:00.,669954000,,Q,2006,00:00.,1,,,,1,Sales,Men's Sports Shorts,1,85,,T5,PO4495112714,,00:00.,Guardian Bank,42,B,,AW00000496,22,00:00.
Jae B Pak,Jae,,6,33.4058,19,6,BK-T18Y-62,2008,Vancouver,6,June,1987,3,Touring Bikes,F,3,2008,1,1336.23,23:41:46.000Z,461.4448,Warehouse,5,,Campeggio e negozio di articoli sportivi,1,,572,,3,445.41,153,2008,Sales Representative,CM ,154,,British Columbia,400-25155 West Pender St,Canada,M,,Current,00:00.,2,Riserva di Sicurezza [it],BC,Turismo-1000 Azul [es],Camping and Sports Store,00:00.,1,1 (11) 500 555-,CA,,,,,291,Pak,Bikes,Q4,668991357,,3000000,,1336.23,6,106.8984,2,,,,1384.3344,68,,jae0@adventure-,1,10,0,Touring,Canada,,23,193-555-0116,45:42.,SO71847-5,291,,dimreseller_businesstype_ja,,,,SO71847,productname_zh_tw,,Canada,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,3A74-467E-8B,,Sunday,1,1,1,300000,1,41:46.,,,6,North America,154,09:45:42.000Z,23.0769,0,00:00.,554636000,,Q,2007,00:00.,1,,,Turismo-1000 Blu [it],1,Sales,Touring-3000 Yellow,1,80,LB ,V7L 4J4,PO18502143784,,00:00.,Reserve Security,68,B,,AW00000154,3,00:00.
David R Campbell,David,,6,20.4675,100,9,FR-M94S-52,2008,Tacoma,1,September,1989,1,Mountain Frames,M,12,2006,1,818.7,03:38:12.000Z,706.811,Warehouse,7,,Metro Ciclo Negozio,5,47.263971 -122.45879,292,,12,818.7,244,2005,Sales Representative,CM ,272,,Washington,2507 Pacific Ave S,United States,S,,Current,00:00.,1,Custode Della Banca [it],WA,HL Monta?a Marco - Plata [es],Metro Cycle Shop,00:00.,1,740-555-0182,US,Pierce County,,,US,289,Campbell,Components,Q1,987554265,98401,3000000,600,818.7,1,65.496,3,,,5806769,706.811,642,,david8@adventur,1,1,0,Mountain,United States,,35,635-555-0126,42:12.,SO44078-7,289,Tacoma,dimreseller_businesstype_ja,,,,SO44078,productname_zh_tw,,Northwest,Vormund Bank [de],dimreseller_bankname_zh_cn,6487-4A93-82,,Thursday,3,2,2,300000,1,38:12.,,,1,North America,272,21:42:12.000Z,23.0769,0,00:00.,583440000,,Q,2005,00:00.,1,Washington,5815135,HL Montagna Telaio - Argento [it],2,Sales,HL Mountain Frame - Silver,1,83,LB ,98403,PO19169159771,,00:00.,Guardian Bank,642,R,,AW00000272,12,00:00.
Linda C Mitchell,Linda,,4,3.9608,100,4,FR-M21S-42,2008,Phoenix,4,April,1990,1,Mountain Frames,F,12,2008,1,158.43,00:15:08.000Z,144.5938,Warehouse,19,,Reali Sporting Goods,3,33.451093 -112.07057,524,,12,158.43,92,2008,Sales Representative,CM ,475,,Arizona,7709 West Virginia Avenue,United States,M,,Current,00:00.,2,Custode Della Banca [it],AZ,LL Turismo Manillar [es],Real Sporting Goods,00:00.,1,883-555-0116,US,Maricopa County,,,US,282,Mitchell,Components,Q4,191644724,85003,3000000,,158.43,4,12.6744,2,,,5303754,144.5938,288,,linda3@adventur,1,4,0,Mountain,United States,,14,581-555-0172,30:23.,SO67273-19,282,Phoenix,dimreseller_businesstype_ja,,,,SO67273,productname_zh_tw,,Southwest,Vormund Bank [de],dimreseller_bankname_zh_cn,9BAE-4E69-B9,,Tuesday,1,2,2,300000,1,15:08.,,,4,North America,475,06:30:23.000Z,23.0769,0,00:00.,627315000,,Q,2006,00:00.,1,Arizona,5551752,Freni anteriori [it],1,Sales,LL Mountain Frame - Silver,1,76,LB ,85004,PO13688176638,,00:00.,Guardian Bank,288,C,,AW00000475,12,00:00.
Tsvi Michael Reiter,Tsvi,TRUE,5,14.9031,100,5,FW-R762,2008,La Vergne,5,May,1987,4,Wheels,M,17,2007,1,596.124,12:09:34.000Z,110.2829,Warehouse,11,,Ogni Bike Shop,3,36.01333 -86.56268,414,,17,149.031,121,2007,Sales Representative,,45,,Tennessee,2550 High Street,United States,M,R ,Current,00:00.,2,Primaria Internazionale [it],TN,,Every Bike Shop,00:00.,1,664-555-0112,US,Rutherford County,248.385,375,US,285,Reiter,Components,Q4,716374314,37086,3000000,,596.124,5,47.6899,2,500,1,4654962,441.1316,565,Sturdy alloy features a quick-release hub.,tsvi0@adventure,1,5,0,Road,United States,,18,333-555-0113,08:35.,SO50315-11,285,La Vergne,dimreseller_businesstype_ja,,M ,149.031,SO50315,productname_zh_tw,,Southeast,Prim?r International [de],dimreseller_bankname_zh_cn,EDB3-4074-A9,110.2829,Tuesday,,2,2,300000,1,09:34.,ML Road Front Wheel,850,5,North America,45,13:08:35.000Z,23.0769,0,00:00.,608341000,,Q,2005,00:00.,1,Tennessee,4662168,,1,Sales,ML Road Front Wheel,1,80,G  ,37086,PO7598160779,NA,00:00.,Primary International,565,Michael,Black,AW00000045,17,00:00.
Stephen Y Jiang,Stephen,TRUE,5,0.9314,100,5,PD-M340,2008,Houston,4,May,1982,1,Pedals,M,13,2008,1,37.254,17:03:05.000Z,27.568,Value Added Reseller,33,,La Gear Negozio,5,29.749278 -95.34741,543,,13,37.254,122,2008,North American Sales Manager,,309,,Texas,2345 North Freeway,United States,M,M ,Current,00:00.,2,Bancario Internazionale [it],TX,,The Gear Store,00:00.,1,238-555-0197,US,Harris County,62.09,375,US,272,Jiang,Components,Q4,502097814,77250,800000,,37.254,4,2.9803,2,500,1,4696376,27.568,582,Lightweight,stephen0@advent,1,11,0,Mountain,United States,,18,149-555-0113,54:38.,SO69528-33,272,Houston,dimreseller_businesstype_ja,,M ,37.254,SO69528,productname_zh_tw,,Southwest,International Bank [de],dimreseller_bankname_zh_cn,2644-4747-86,27.568,Thursday,,2,2,80000,1,03:05.,ML Mountain Pedal,215,4,North America,309,10:54:38.000Z,48.101,0,00:00.,582693000,,S,2005,00:00.,1,Texas,4736286,,1,Sales,ML Mountain Pedal,1,14,G  ,77003,PO6438163496,NA,00:00.,International Bank,582,Y,Silver/Black,AW00000309,13,00:00.
Jae B Pak,Jae,,4,42.945,19,10,FR-R92R-44,2008,Richmond,6,October,1977,2,Road Frames,F,14,2008,1,1717.8,11:06:07.000Z,868.6342,Warehouse,21,,Centro commerciale al dettaglio,2,,243,,14,858.9,274,2007,Sales Representative,CM ,514,,British Columbia,254480 River Rd,Canada,M,,Current,00:00.,1,Primaria Internazionale [it],BC,Deporte-100 Casco [es],Retail Mall,00:00.,1,1 (11) 500 555-,CA,,,,,291,Pak,Components,Q2,668991357,,3000000,600,1717.8,6,137.424,4,,,,1737.2684,61,,jae0@adventure-,1,10,0,Road,Canada,,40,726-555-0155,09:26.,SO55245-21,291,,dimreseller_businesstype_ja,,,,SO55245,productname_zh_tw,,Canada,Prim?r International [de],dimreseller_bankname_zh_cn,B5AD-476D-B4,,Monday,3,2,2,300000,1,06:07.,,,6,North America,514,04:09:26.000Z,23.0769,0,00:00.,666199000,,Q,2005,00:00.,1,,,Gioco-100 Casco [it],2,Sales,HL Road Frame - Red,1,91,LB ,V6B 3P7,PO14732112185,,00:00.,Primary International,61,B,,AW00000514,14,00:00.
